index,word,word_type,word_length,transition_logprob,english_like_p10,english_like_p25
1,xebeni,sudo,6,-4.392559,0,0
2,dpiufad,random,7,-3.649506,0,0
3,dabaqaho,sudo,8,-3.814684,0,0
4,vkthkudzm,random,9,-4.257230,0,0
5,lvybqsdlup,random,10,-4.113719,0,0
6,rwjgyr,random,6,-4.357295,0,0
7,zodacic,sudo,7,-3.403520,0,0
8,ugsbccng,random,8,-4.096224,0,0
9,fohilelih,sudo,9,-3.186099,0,0
10,jofuhunepo,sudo,10,-3.300550,0,0
11,zafeji,sudo,6,-4.740157,0,0
12,wecozum,sudo,7,-3.061602,0,0
13,xhbvwagt,random,8,-4.265995,0,0
14,vzfymyzwz,random,9,-4.537432,0,0
15,aizstitoqz,random,10,-3.403494,0,0
16,ypszgz,random,6,-4.813561,0,0
17,wafutat,sudo,7,-2.602398,1,0
18,rocozode,sudo,8,-2.886168,0,0
19,kxhnwrwdi,random,9,-4.900450,0,0
20,jhklysmxub,random,10,-4.213104,0,0
21,sojdut,random,6,-3.163733,0,0
22,sugomuf,sudo,7,-3.130318,0,0
23,dushqybl,random,8,-3.184038,0,0
24,ysghnecvb,random,9,-4.361094,0,0
25,qevevanevo,sudo,10,-3.183694,0,0
26,xijolo,sudo,6,-4.030584,0,0
27,guqohib,sudo,7,-4.189343,0,0
28,qihodofo,sudo,8,-3.806470,0,0
29,cumabegus,sudo,9,-2.849770,0,0
30,xktlkjjvjh,random,10,-4.336929,0,0
