stimulus_mode,shape_id,pair_id,texture_version,variant_index,relative_path,absolute_path
B_controlled_simple,1,1,version_1,1,stimuli_B_controlled_simple/1/version_1.png,"/Users/samahabdelrahim/Downloads/BlenderObjects/data/ALICE_stl_(Xu & Sandhofer, 2024)/stimuli_B_controlled_simple/1/version_1.png"
B_controlled_simple,1,1,version_2,2,stimuli_B_controlled_simple/1/version_2.png,"/Users/samahabdelrahim/Downloads/BlenderObjects/data/ALICE_stl_(Xu & Sandhofer, 2024)/stimuli_B_controlled_simple/1/version_2.png"
B_controlled_simple,10,10,version_1,1,stimuli_B_controlled_simple/10/version_1.png,"/Users/samahabdelrahim/Downloads/BlenderObjects/data/ALICE_stl_(Xu & Sandhofer, 2024)/stimuli_B_controlled_simple/10/version_1.png"
B_controlled_simple,10,10,version_2,2,stimuli_B_controlled_simple/10/version_2.png,"/Users/samahabdelrahim/Downloads/BlenderObjects/data/ALICE_stl_(Xu & Sandhofer, 2024)/stimuli_B_controlled_simple/10/version_2.png"
B_controlled_simple,11,11,version_1,1,stimuli_B_controlled_simple/11/version_1.png,"/Users/samahabdelrahim/Downloads/BlenderObjects/data/ALICE_stl_(Xu & Sandhofer, 2024)/stimuli_B_controlled_simple/11/version_1.png"
B_controlled_simple,11,11,version_2,2,stimuli_B_controlled_simple/11/version_2.png,"/Users/samahabdelrahim/Downloads/BlenderObjects/data/ALICE_stl_(Xu & Sandhofer, 2024)/stimuli_B_controlled_simple/11/version_2.png"
B_controlled_simple,12,12,version_1,1,stimuli_B_controlled_simple/12/version_1.png,"/Users/samahabdelrahim/Downloads/BlenderObjects/data/ALICE_stl_(Xu & Sandhofer, 2024)/stimuli_B_controlled_simple/12/version_1.png"
B_controlled_simple,12,12,version_2,2,stimuli_B_controlled_simple/12/version_2.png,"/Users/samahabdelrahim/Downloads/BlenderObjects/data/ALICE_stl_(Xu & Sandhofer, 2024)/stimuli_B_controlled_simple/12/version_2.png"
B_controlled_simple,13,13,version_1,1,stimuli_B_controlled_simple/13/version_1.png,"/Users/samahabdelrahim/Downloads/BlenderObjects/data/ALICE_stl_(Xu & Sandhofer, 2024)/stimuli_B_controlled_simple/13/version_1.png"
B_controlled_simple,13,13,version_2,2,stimuli_B_controlled_simple/13/version_2.png,"/Users/samahabdelrahim/Downloads/BlenderObjects/data/ALICE_stl_(Xu & Sandhofer, 2024)/stimuli_B_controlled_simple/13/version_2.png"
B_controlled_simple,14,14,version_1,1,stimuli_B_controlled_simple/14/version_1.png,"/Users/samahabdelrahim/Downloads/BlenderObjects/data/ALICE_stl_(Xu & Sandhofer, 2024)/stimuli_B_controlled_simple/14/version_1.png"
B_controlled_simple,14,14,version_2,2,stimuli_B_controlled_simple/14/version_2.png,"/Users/samahabdelrahim/Downloads/BlenderObjects/data/ALICE_stl_(Xu & Sandhofer, 2024)/stimuli_B_controlled_simple/14/version_2.png"
B_controlled_simple,15,15,version_1,1,stimuli_B_controlled_simple/15/version_1.png,"/Users/samahabdelrahim/Downloads/BlenderObjects/data/ALICE_stl_(Xu & Sandhofer, 2024)/stimuli_B_controlled_simple/15/version_1.png"
B_controlled_simple,15,15,version_2,2,stimuli_B_controlled_simple/15/version_2.png,"/Users/samahabdelrahim/Downloads/BlenderObjects/data/ALICE_stl_(Xu & Sandhofer, 2024)/stimuli_B_controlled_simple/15/version_2.png"
B_controlled_simple,16,16,version_1,1,stimuli_B_controlled_simple/16/version_1.png,"/Users/samahabdelrahim/Downloads/BlenderObjects/data/ALICE_stl_(Xu & Sandhofer, 2024)/stimuli_B_controlled_simple/16/version_1.png"
B_controlled_simple,16,16,version_2,2,stimuli_B_controlled_simple/16/version_2.png,"/Users/samahabdelrahim/Downloads/BlenderObjects/data/ALICE_stl_(Xu & Sandhofer, 2024)/stimuli_B_controlled_simple/16/version_2.png"
B_controlled_simple,17,17,version_1,1,stimuli_B_controlled_simple/17/version_1.png,"/Users/samahabdelrahim/Downloads/BlenderObjects/data/ALICE_stl_(Xu & Sandhofer, 2024)/stimuli_B_controlled_simple/17/version_1.png"
B_controlled_simple,17,17,version_2,2,stimuli_B_controlled_simple/17/version_2.png,"/Users/samahabdelrahim/Downloads/BlenderObjects/data/ALICE_stl_(Xu & Sandhofer, 2024)/stimuli_B_controlled_simple/17/version_2.png"
B_controlled_simple,18,18,version_1,1,stimuli_B_controlled_simple/18/version_1.png,"/Users/samahabdelrahim/Downloads/BlenderObjects/data/ALICE_stl_(Xu & Sandhofer, 2024)/stimuli_B_controlled_simple/18/version_1.png"
B_controlled_simple,18,18,version_2,2,stimuli_B_controlled_simple/18/version_2.png,"/Users/samahabdelrahim/Downloads/BlenderObjects/data/ALICE_stl_(Xu & Sandhofer, 2024)/stimuli_B_controlled_simple/18/version_2.png"
B_controlled_simple,19,19,version_1,1,stimuli_B_controlled_simple/19/version_1.png,"/Users/samahabdelrahim/Downloads/BlenderObjects/data/ALICE_stl_(Xu & Sandhofer, 2024)/stimuli_B_controlled_simple/19/version_1.png"
B_controlled_simple,19,19,version_2,2,stimuli_B_controlled_simple/19/version_2.png,"/Users/samahabdelrahim/Downloads/BlenderObjects/data/ALICE_stl_(Xu & Sandhofer, 2024)/stimuli_B_controlled_simple/19/version_2.png"
B_controlled_simple,2,2,version_1,1,stimuli_B_controlled_simple/2/version_1.png,"/Users/samahabdelrahim/Downloads/BlenderObjects/data/ALICE_stl_(Xu & Sandhofer, 2024)/stimuli_B_controlled_simple/2/version_1.png"
