mode,stl_id,texture_set
*,1,american_oak_1-4K
*,2,brick_floor
*,3,brick_wall_001
*,4,Bricks003_4K-JPG
*,5,brown_fabric_53-4K
*,6,brown_fabric_53-4K 2
*,7,camouflage_7-4K
*,8,Concrete018_4K-JPG
*,9,Concrete018_4K-JPG (1)
*,10,concrete_brick_wall_001
*,11,corrugatedsteel
*,12,denim_fabric
*,13,DiamondPlate005C_4K-JPG
*,14,Fabric026_4K-JPG
*,15,Fabric031_4K-JPG
*,16,Fabric047_4K-JPG
*,17,Fabric047_4K-JPG 2
*,18,Fabric071_4K-JPG
*,19,fabric_79-4K
*,20,fabric_leather_01
*,21,Fence008B_4K-JPG
*,22,Ground054_4K-JPG
*,23,Metal002_4K-JPG
*,24,Metal007_4K-JPG
*,25,mud_cracked_dry_03
*,26,NO - Fabric048_4K-JPG
*,27,NO - Paper003_4K-JPG
*,28,PaintedMetal005_4K-JPG
*,29,PaintedMetal007_4K-JPG
*,30,Paper003_4K-JPG
