stl_id,v1_texture_set,v2_texture_set,changed
1,american_oak_1-4K,Fabric047_4K-JPG,1
2,brick_floor,Metal002_4K-JPG,1
3,brick_wall_001,wallpaper_15-4K,1
4,Bricks003_4K-JPG,concrete_brick_wall_001,1
5,brown_fabric_53-4K,DiamondPlate005C_4K-JPG,1
6,brown_fabric_53-4K 2,Concrete018_4K-JPG,1
7,camouflage_7-4K,brick_wall_001,1
8,Concrete018_4K-JPG,fabric_79-4K,1
9,Concrete018_4K-JPG (1),fabric_leather_01,1
10,concrete_brick_wall_001,Fence008B_4K-JPG,1
11,corrugatedsteel,Bricks003_4K-JPG,1
12,denim_fabric,PaintedMetal007_4K-JPG,1
13,DiamondPlate005C_4K-JPG,brown_fabric_53-4K 2,1
14,Fabric026_4K-JPG,Fabric047_4K-JPG 2,1
15,Fabric031_4K-JPG,Paper003_4K-JPG,1
16,Fabric047_4K-JPG,Fabric071_4K-JPG,1
17,Fabric047_4K-JPG 2,NO - Fabric048_4K-JPG,1
18,Fabric071_4K-JPG,Ground054_4K-JPG,1
19,fabric_79-4K,Concrete018_4K-JPG (1),1
20,fabric_leather_01,Metal007_4K-JPG,1
21,Fence008B_4K-JPG,denim_fabric,1
22,Ground054_4K-JPG,corrugatedsteel,1
23,Metal002_4K-JPG,brown_fabric_53-4K,1
24,Metal007_4K-JPG,PaintedMetal005_4K-JPG,1
25,mud_cracked_dry_03,NO - Paper003_4K-JPG,1
26,NO - Fabric048_4K-JPG,Fabric031_4K-JPG,1
27,NO - Paper003_4K-JPG,camouflage_7-4K,1
28,PaintedMetal005_4K-JPG,brick_floor,1
29,PaintedMetal007_4K-JPG,Paper005_4K-JPG,1
30,Paper003_4K-JPG,Fabric026_4K-JPG,1
